Kingdom	Phylum	Class	Order	Family	Genus	Species	id
Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Ignavigranum	""	unknown
Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	""	unknown
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Intrasporangiaceae	""	""	unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	""	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	""	""	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	""	""	unknown
Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	""	""	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	""	""	unknown
Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Ignavigranum	""	unknown
Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	""	unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	""	""	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	""	""	""	unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	""	unknown
Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	""	unknown
Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	""	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	""	MYb191,MYb177
Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	CL500-29 marine group	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Aquincola	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	""	unknown
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	""	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	""	unknown
Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Family XI	Helcococcus	""	unknown
Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	""	""	""	unknown
Bacteria	Patescibacteria	Gracilibacteria	Absconditabacteriales (SR1)	""	""	""	unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	""	""	unknown
Bacteria	Deinococcota	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Lacihabitans	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium	""	unknown
Bacteria	Chloroflexi	KD4-96	""	""	""	""	unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	""	""	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Candidatus Hemobacterium	""	unknown
Bacteria	Bacteroidota	Bacteroidia	""	""	""	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	""	""	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	""	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	""	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	""	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Candidatus Hemobacterium	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	""	""	unknown
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Brevibacteriaceae	Brevibacterium	""	unknown
Bacteria	Patescibacteria	Parcubacteria	""	""	""	""	unknown
Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Dialister	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	""	""	""	""	unknown
Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	""	unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	""	unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Polymorphobacter	""	unknown
Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	""	unknown
Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Family XI	Anaerococcus	""	unknown
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Intrasporangiaceae	Pedococcus-Phycicoccus	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Microscillaceae	""	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella_9	""	unknown
Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	""	""	""	unknown
Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Ignavigranum	""	unknown
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Plantibacter	""	unknown
Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Propionicicella	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Soonwooa	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Candidatus Hemobacterium	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	Rickettsiella	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	""	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	""	""	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Hymenobacteraceae	Hymenobacter	""	unknown
Bacteria	Bacteroidota	Bacteroidia	""	""	""	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	""	""	""	unknown
Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia	""	unknown
Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	""	""	""	unknown
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Aeribacillus	""	unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Pseudorhodoplanes	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Lautropia	""	unknown
Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Pseudorhodoferax	""	unknown
Bacteria	Bacteroidota	Bacteroidia	""	""	""	""	unknown
Bacteria	Actinobacteriota	MB-A2-108	""	""	""	""	unknown
Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	""	""	""	unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Pseudaminobacter	""	unknown
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Conyzicola	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	""	""	unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rubellimicrobium	""	unknown
Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	[Eubacterium] brachy group	""	unknown
Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Chroococcidiopsaceae	Aliterella	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	""	unknown
Bacteria	Deinococcota	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	""	""	""	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	""	""	""	unknown
Bacteria	Gemmatimonadota	Longimicrobia	Longimicrobiales	Longimicrobiaceae	""	""	unknown
Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	""	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Empedobacter	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	""	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Candidatus Hemobacterium	""	unknown
Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Jeotgalicoccus	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Kinneretia	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	""	""	unknown
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	""	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia-Caballeronia-Paraburkholderia	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	""	""	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	""	""	""	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Buttiauxella	""	unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Neokomagataea	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	""	""	""	unknown
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	""	unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	""	unknown
Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Coprococcus	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	""	""	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	""	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	""	""	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	""	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	""	unknown
Bacteria	Bacteroidota	Bacteroidia	""	""	""	""	unknown
Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	""	""	unknown
Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Family XI	Ezakiella	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Chiayiivirga	""	unknown
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Conyzicola	""	unknown
Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Subdoligranulum	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	""	""	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	env.OPS 17	""	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella	""	unknown
Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	""	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Aquincola	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Undibacterium	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	""	""	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Candidatus Hemobacterium	""	unknown
Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	""	""	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	""	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	""	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	""	unknown
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Intrasporangiaceae	Ornithinimicrobium	""	unknown
Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	""	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	""	""	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	""	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	""	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	""	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Candidatus Hemobacterium	""	unknown
Bacteria	Proteobacteria	""	""	""	""	""	unknown
Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Hungatella	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	""	""	unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Neokomagataea	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	""	""	""	unknown
Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	""	""	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	""	""	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	""	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	""	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	""	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	""	unknown
Bacteria	Proteobacteria	""	""	""	""	""	unknown
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	""	""	""	unknown
Bacteria	Firmicutes	Clostridia	Oscillospirales	[Eubacterium] coprostanoligenes group	""	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	""	""	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	""	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	""	unknown
Bacteria	""	""	""	""	""	""	unknown
Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	""	""	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	MND1	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	""	unknown
Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	""	unknown
Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadaceae	TM7a	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	""	""	unknown
Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Microlunatus	""	unknown
Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	""	""	unknown
Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	""	unknown
Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Family XI	Anaerococcus	""	unknown
Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	""	""	unknown
Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	""	unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Daeguia	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	""	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	""	""	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	""	""	""	unknown
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium sensu stricto 1	""	unknown
Bacteria	Firmicutes	Clostridia	Oscillospirales	[Eubacterium] coprostanoligenes group	""	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	""	""	""	""	unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Daeguia	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium	""	unknown
Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	""	""	""	unknown
Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	""	""	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	""	""	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium	""	unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	""	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	""	""	""	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	""	""	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	""	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	""	""	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	""	""	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	""	""	""	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	""	""	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	""	""	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	""	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	""	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	""	""	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	""	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	""	""	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium	""	unknown
Bacteria	Firmicutes	Bacilli	Lactobacillales	""	""	""	unknown
Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	""	unknown
Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	""	""	unknown
Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	""	""	unknown
Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	""	unknown
Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium	""	unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Daeguia	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	""	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Aquincola	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Aquincola	""	unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	""	""	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	""	unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Daeguia	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	""	""	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Soonwooa	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	""	""	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	""	""	""	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Soonwooa	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	""	""	""	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	""	""	""	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Candidatus Hemobacterium	""	unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Daeguia	""	unknown
Bacteria	Bacteroidota	Bacteroidia	""	""	""	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Yokenella	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	""	""	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	""	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	""	""	""	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	""	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	""	""	""	unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Daeguia	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	""	""	unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	""	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Candidatus Hemobacterium	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	""	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	""	""	""	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	""	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	""	""	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	""	""	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	""	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Candidatus Hemobacterium	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	""	""	""	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	""	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	""	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	""	""	""	unknown
Bacteria	Bacteroidota	Bacteroidia	""	""	""	""	unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Daeguia	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	""	""	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	""	""	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	""	""	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	""	""	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	""	""	unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	""	""	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Ventosimonas	""	unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	""	""	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Erwinia	Erwinia sp.	MYb416
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Kinneretia	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Candidatus Hemobacterium	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Nitrincolaceae	Balneatrix	""	unknown
